Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-May-2024,30-May-2024,CE,23300.00,91.95,102.85,77.15,82.25,82.70,82.25,27531.00,160960.24,592.17,808100.00,74475.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23350.00,70.20,84.65,67.60,71.00,67.65,71.00,3951.00,23137.16,73.20,71975.00,9625.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23400.00,62.40,73.50,52.00,60.85,61.55,60.85,35539.00,208479.56,576.41,820525.00,124575.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23450.00,49.25,63.00,49.25,52.05,50.70,52.05,7959.00,46768.36,108.72,89775.00,23075.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23500.00,41.60,54.25,40.80,45.05,45.00,45.05,90898.00,535105.79,1080.04,2597875.00,58725.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23550.00,39.60,46.25,36.75,37.60,38.15,37.60,6089.00,35910.18,61.19,77300.00,5250.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23600.00,28.80,39.30,27.50,31.60,31.10,31.60,30477.00,180073.17,258.87,858100.00,95525.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23650.00,27.05,33.60,22.15,27.10,27.20,27.10,6434.00,38088.08,47.06,95950.00,3725.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23700.00,21.15,28.65,20.50,23.20,20.50,23.20,21056.00,124888.69,131.89,696125.00,85625.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23750.00,22.30,24.75,18.50,20.10,20.05,20.10,8338.00,49552.53,45.65,57875.00,3025.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23800.00,17.55,20.80,16.20,16.95,16.55,16.95,28171.00,167747.09,129.64,640150.00,117775.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23850.00,17.25,18.95,15.20,15.60,15.30,15.60,2044.00,12195.96,8.61,12650.00,2625.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23900.00,15.95,17.00,13.40,13.75,13.70,13.75,18051.00,107922.34,67.61,237175.00,71125.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23950.00,13.70,15.60,12.65,13.10,12.65,13.10,1241.00,7434.86,4.37,20875.00,3550.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24000.00,13.35,15.25,12.00,12.55,12.50,12.55,41766.00,250735.14,139.14,2175200.00,237625.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24050.00,12.50,15.70,9.95,10.90,10.95,10.90,1901.00,11435.55,5.78,21150.00,2625.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24100.00,11.45,14.05,9.65,10.35,9.65,10.35,13220.00,79685.82,35.32,249175.00,62700.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24150.00,20.00,20.00,8.35,9.40,9.85,9.40,831.00,5019.28,2.11,8700.00,-625.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24200.00,10.05,10.85,6.55,8.75,9.90,8.75,10448.00,63234.86,24.46,332025.00,33175.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24250.00,9.35,10.30,8.65,9.00,10.10,9.00,1785.00,10825.70,4.14,94800.00,2475.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24300.00,8.50,9.15,6.60,6.90,7.05,6.90,10131.00,61565.10,19.27,123350.00,-53725.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24350.00,11.00,11.00,7.15,7.30,7.30,7.30,79.00,481.08,0.16,4250.00,1100.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24400.00,8.00,8.00,5.85,6.10,6.35,6.10,4360.00,26603.07,7.07,49050.00,-875.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24450.00,7.55,8.10,5.85,6.10,6.60,6.10,317.00,1938.19,0.53,8675.00,2750.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,24500.00,6.65,8.00,4.45,4.85,4.80,4.85,32240.00,197512.94,42.94,791050.00,254775.00,22648.20
NIFTY,03-May-2024,30-May-2024,CE,20050.00,2565.00,2565.00,2422.45,2506.10,2506.10,2530.25,43.00,242.88,27.34,31650.00,200.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20100.00,2700.00,2700.00,2412.80,2468.75,2472.60,2468.75,172.00,972.30,108.00,255425.00,-475.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20150.00,-,-,-,2544.80,2551.20,2430.95,-,-,-,450.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20200.00,2301.00,2315.00,2300.00,2315.00,2315.00,2381.30,5.00,28.13,2.88,31425.00,-75.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20250.00,2435.00,2435.00,2435.00,2435.00,2435.00,2331.65,1.00,5.67,0.61,950.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20300.00,2183.00,2183.00,2183.00,2183.00,2183.00,2282.05,1.00,5.62,0.55,6550.00,25.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20350.00,-,-,-,2349.10,2349.95,2232.50,-,-,-,450.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20400.00,2464.20,2464.20,2174.40,2174.40,2174.40,2174.40,8.00,45.44,4.64,14825.00,25.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20450.00,-,-,-,2210.70,2210.55,2133.50,-,-,-,350.00,-,22475.85
